,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0,0000950170-25-071771,1965934,OVERLAND ADVANTAGE,,US,NY,NEW YORK,10152,375 PARK AVENUE,11TH FLOOR,212-672-5088,US,NY,NEW YORK,10152,375 PARK AVENUE,11TH FLOOR,US,DE,0,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-15,2025-05-14 20:36:00,0,1,ck0001965934-20250331_htm.xml,1,
1,0000950170-25-070633,2052153,APOLLO ORIGINATION II (UL) CAPITAL TRUST,,US,NY,NEW YORK,10019,"9 WEST 57TH STREET, 42ND FLOOR",,212-822-0516,US,NY,NEW YORK,10019,"9 WEST 57TH STREET, 42ND FLOOR",,US,DE,0,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-14,2025-05-13 18:14:00,0,1,ck0002052153-20250331_htm.xml,1,
2,0000816956-25-000011,816956,CONMED CORP,3845.0,US,FL,LARGO,33773,11311 CONCEPT BOULEVARD,,727-214-2974,US,FL,LARGO,33773,11311 CONCEPT BOULEVARD,,US,DE,160977505,CONMED CORP,19920703.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-01,2025-05-01 11:08:00,0,1,cnmd-20250331_htm.xml,1,
3,0001213900-25-037427,1997201,PS INTERNATIONAL GROUP LTD.,4731.0,CN,,HONG KONG,00000,"UN. 1002, 10/F, JOIN-IN HANG SING CTR.,","#2-16 KWAI FUNG CRESCENT, KWAI CHUNG, NT",85236106828,CN,,HONG KONG,00000,"UN. 1002, 10/F, JOIN-IN HANG SING CTR.,","#2-16 KWAI FUNG CRESCENT, KWAI CHUNG, NT",KY,,0,,,4-NON,0,1231.0,20-F,2024-12-31,2024.0,FY,2025-04-30,2025-04-30 14:06:00,0,1,ea0238916-20f_psinter_htm.xml,1,
4,0001679273-25-000026,1679273,"LAMB WESTON HOLDINGS, INC.",2030.0,US,ID,EAGLE,83616,599 S. RIVERSHORE LANE,,208.938.1047,US,ID,EAGLE,83616,599 S. RIVERSHORE LANE,,,,611797411,,,1-LAF,0,531.0,10-Q,2025-02-28,2025.0,Q3,2025-04-03,2025-04-03 13:05:00,0,1,lw-20250223_htm.xml,1,
5,0001683168-25-003620,1355848,"KARTOON STUDIOS, INC.",7812.0,US,CA,BEVERLY HILLS,90210,190 N. CANON,4TH FLOOR,310-273-4222,US,CA,BEVERLY HILLS,90210,190 N. CANON,4TH FLOOR,US,NV,204118216,"GENIUS BRANDS INTERNATIONAL, INC.",20111109.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-15,2025-05-15 09:01:00,0,1,kartoon_i10q-033125_htm.xml,1,
6,0001562528-25-000019,1562528,"FRANKLIN BSP REALTY TRUST, INC.",6798.0,US,NY,NEW YORK,10010,"ONE MADISON AVENUE, SUITE 1600",,(212) 588-6770,US,NY,NEW YORK,10010,"ONE MADISON AVENUE, SUITE 1600",,US,MD,0,"BENEFIT STREET PARTNERS REALTY TRUST, INC.",20170203.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-04-28,2025-04-28 16:30:00,0,1,bsprt-20250331_htm.xml,1,
7,0001628280-25-022872,1521036,"LANTHEUS HOLDINGS, INC.",2835.0,US,MA,NORTH BILLERICA,01862,331 TREBLE COVE ROAD,,978 671-8001,US,MA,NORTH BILLERICA,01862,331 TREBLE COVE ROAD,,US,DE,352318913,"LANTHEUS MI HOLDINGS, INC.",20110517.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-07,2025-05-07 07:41:00,0,1,lnth-20250331_htm.xml,1,
8,0001558370-25-006961,743367,BAR HARBOR BANKSHARES,6022.0,US,ME,BAR HARBOR,04609-0400,82 MAIN ST,PO BOX 400,2076696784,US,ME,BAR HARBOR,04609-0400,82 MAIN ST,PO BOX 400,US,ME,10393663,,,2-ACC,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-08,2025-05-08 16:05:00,0,1,bhb-20250331x10q_htm.xml,1,
9,0001092699-25-000038,1092699,SPS COMMERCE INC,7372.0,US,MN,MINNEAPOLIS,55402,333 SOUTH SEVENTH STREET,SUITE 1000,612-435-9400,US,MN,MINNEAPOLIS,55402,333 SOUTH SEVENTH STREET,SUITE 1000,,,412015127,,,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-04-24,2025-04-24 16:17:00,0,1,spsc-20250331_htm.xml,1,
